bias (mV)	dI/dV_1	dI/dV_2
25	4.17182547408731e-08	4.317760473973014e-08
24.84984984984985	4.164868991832401e-08	4.307862009865067e-08
24.6996996996997	4.162103538636352e-08	4.299247441274363e-08
24.54954954954955	4.157937082606337e-08	4.291065994062968e-08
24.3993993993994	4.157098651627645e-08	4.281259916326836e-08
24.24924924924925	4.152244737725018e-08	4.270897009580211e-08
24.0990990990991	4.149161047302542e-08	4.260972766686657e-08
23.94894894894895	4.146757740758624e-08	4.251201256956522e-08
23.7987987987988	4.137371373068972e-08	4.248075805427286e-08
23.64864864864865	4.139521492734242e-08	4.247300789115442e-08
23.4984984984985	4.130284055699071e-08	4.249168859985007e-08
23.34834834834835	4.130269462068098e-08	4.251986284617691e-08
23.1981981981982	4.123774603333981e-08	4.252119073948026e-08
23.04804804804805	4.11957598202187e-08	4.251272631549225e-08
22.8978978978979	4.115995860650345e-08	4.249337887966016e-08
22.74774774774775	4.112930684014911e-08	4.247000069870065e-08
22.5975975975976	4.10882139523882e-08	4.244731969785107e-08
22.44744744744745	4.104345106337651e-08	4.242490085977011e-08
22.2972972972973	4.101156805428386e-08	4.238613925887056e-08
22.14714714714715	4.093275196175752e-08	4.234113892693652e-08
21.996996996997	4.090772495136735e-08	4.225773548855572e-08
21.84684684684685	4.083806733565431e-08	4.215945084642678e-08
21.6966966966967	4.077727938077605e-08	4.204431472158921e-08
21.54654654654655	4.073721808962786e-08	4.192255081694153e-08
21.3963963963964	4.069463567578441e-08	4.183036201024488e-08
21.24624624624625	4.066425463137022e-08	4.174997838970515e-08
21.0960960960961	4.05952785433837e-08	4.167476485132434e-08
20.94594594594594	4.057760122893101e-08	4.160164552343828e-08
20.7957957957958	4.04869393618331e-08	4.150722467751124e-08
20.64564564564564	4.046637943795973e-08	4.140404854662669e-08
20.4954954954955	4.042526742977458e-08	4.130226006666667e-08
20.34534534534534	4.037764110055262e-08	4.120105026666666e-08
20.1951951951952	4.034463524407672e-08	4.108532416381808e-08
20.04504504504504	4.026404740875644e-08	4.096345654822588e-08
19.8948948948949	4.024244871482759e-08	4.083585107766117e-08
19.74474474474474	4.018180715409846e-08	4.07057830083958e-08
19.5945945945946	4.016271573697571e-08	4.062687970434783e-08
19.44444444444444	4.010337438385957e-08	4.057025071619191e-08
19.2942942942943	4.008317590355462e-08	4.052486476701649e-08
19.14414414414414	4.004816263332844e-08	4.048444327661169e-08
18.993993993994	3.998841518229095e-08	4.040247329195402e-08
18.84384384384384	3.994045205026713e-08	4.030189680769615e-08
18.69369369369369	3.989058701771153e-08	4.021846734217891e-08
18.54354354354354	3.98806859985657e-08	4.014282516901549e-08
18.39339339339339	3.982352341122561e-08	4.009605983963018e-08
18.24324324324324	3.980054705226344e-08	4.006259305672164e-08
18.09309309309309	3.97633301972375e-08	4.000940528295851e-08
17.94294294294294	3.974371346569145e-08	3.994700858835582e-08
17.79279279279279	3.971721865407367e-08	3.989541455822088e-08
17.64264264264264	3.965838360191087e-08	3.984893506391804e-08
17.49249249249249	3.962146599372101e-08	3.983119969630185e-08
